STT,CPU,RAM,Ổ cứng,Đồ họa,Màn hình,Trọng lượng (kg),Hệ điều hành,Name,Price
151,AMD Ryzen 5-2500U,"4 GB, DDR4, 2666 MHz",HDD 1 TB,AMD Radeon Graphics Vega 8,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.7,Windows 10,Acer Swift SF315-41-R0DX/R5-2500U/NX.GV7SV.005,13.490.000 ₫
152,Intel Core i3-1115G4,"4 GB, DDR4",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 250 nits, Anti-glare LED-backlit",1.35,Windows 10,Asus Vivobook A415EA-EB356T/i3-1115G4,13.390.000 ₫
153,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 128 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.05,Windows 10,Dell Inspiron N5593 i3 1005G1/70196703,13.390.000 ₫
154,Intel Core i3-1005G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, LED-backlit",1.6,Windows 10,Lenovo ideapad 3-14IIL05/i3-1005G1,13.290.000 ₫
155,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, LED-backlit",1.5,Windows 10,Lenovo ThinkBook 14-IIL/i3-1005G1,13.290.000 ₫
156,Intel Core i3-10110U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, LED-backlit",1.5,Windows 10,Asus Vivobook TP412FA-EC599T/i3-10110U,13.190.000 ₫
157,AMD Ryzen 3-4300U,"4 GB, DDR4",SSD 256 GB,AMD Radeon Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, LED-backlit",1.5,Windows 10,Asus Vivobook Flip TM420IA-EC155T/R3-4300U,13.190.000 ₫
158,Intel Core i5-8265U,"4 GB, DDR4, 2400 MHz",HDD 1000 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare Micro-edge WLED-backlit",1.59,Windows 10,HP Pavilion 14-ce2040TU/Core i5 8265U,13.090.000 ₫
159,AMD Ryzen 5-3500U,"4 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon Graphics Vega 8,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, LED-backlit",1.8,Windows 10,Lenovo Ideapad S340-15API/R5-3500U,12.990.000 ₫
160,AMD Ryzen 5-3500U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon 625 2 GB & AMD Radeon Graphics Vega 8,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, Acer ComfyView LED-backlit",1.7kg,Windows 10 Home,Acer Aspire 3 A315-23G-R33Y/R5-3500U/NX.HVSSV.001,12.790.000 ₫
161,Intel Core i3-1005G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1366 x 768 Pixel, SVA, 60 Hz, 220 nits, Micro-edge WLED-backlit",1.65,Windows 10,HP 15s-fq1116TU/i3-1005G1,12.690.000 ₫
162,Intel Core i3-1115G4,"4 GB, DDR4, 2666 MHz",Đang cập nhật,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 250 nits, LED Backlit",1.4,Windows 10,Asus VivoBook A415EA-EB358T/i3-1115G4,12.590.000 ₫
163,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, Anti-glare LED-backlit",1.693,Windows 10,HP Pavilion 15-cs3008TU/i3-1005G1,12.590.000 ₫
164,AMD Ryzen 5-3500U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon Graphics Vega 3,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 200 nits, LED-backlit",1.9,Windows 10,Asus Vivobook D409DA-EK109T/R5-3500U,12.590.000 ₫
165,Intel Core i3-10110U,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, WLED-backlit",1.633,Windows 10,HP Pavilion x360 14-dh1137TU/i3-10110U,12.590.000 ₫
166,Intel Core i3-10110U,"4 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 200 nits, Anti-glare LED-backlit",1.5,Windows 10,Asus Vivobook A412FA-EK1178T/i3-10110U,12.490.000 ₫
167,Intel Core i3-1005G1,"4 GB, DDR4, 2666 Mhz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, TN, LED-backlit",1.6,Windows 10,Lenovo Ideapad S340-14IIL/CORE I3 1005G1,12.290.000 ₫
168,Intel Core i3-7020U,"4 GB, DDR4, 2133 MHz",Đang cập nhật,AMD Radeon 520 2 GB & Intel HD Graphics 620,"15.6"", 1920 x 1080 Pixel, LED-backlit",2.18,Windows 10,Dell Inspiron N3581/Core i3-7020U/N5I3150W,12.290.000 ₫
169,Intel Core i5-1035G1,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.7,Windows 10,Acer Aspire 3 A315 56 59XY i5 1035G1/NX.HS5SV.003,12.290.000 ₫
170,Intel Core i3-8130U,"8 GB, DDR4, 2133 MHz",SSD 512 GB,NVIDIA GeForce MX110 2 GB & Intel UHD Graphics 620,"15.6"", 1920 x 1080 Pixel, TN, 220 nits, LED-backlit",1.85,Windows 10,Lenovo IdeaPad S145/i3 8130U,11.990.000 ₫
171,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, Anti-glare LED-backlit",2.15,Windows 10,Dell Vostro V3591 i3 1005G1/V5I3308W,11.790.000 ₫
