STT,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,Độ phân giải,Weight,Price
45,Dell,Intel Core i5-1035G1,8 GB, 2666 MHz,256,0.0,NVIDIA GeForce MX230,2,15.6,1920 x 1080,2.05,17790000.0
46,Lenovo,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.66,17490000.0
47,Lenovo,Intel Core i5-1035G1,8 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.5,16190000.0
48,Acer,Intel Core i3-1005G1,4 GB, 2400 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.7,11790000.0
49,Asus,Intel Core i3-10110U,4 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.406,12490000.0
50,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.69,13390000.0
51,Dell,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,On board,0,14,1920 x 1080,1.64,12790000.0
52,Asus,Intel Core i5-10300H,8 GB, 2933 MHz,512,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,23990000.0
53,Asus,Intel Core i3-10110U,4 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.406,12890000.0
54,HP,Intel Core i5-1135G7,8 GB, 2933 MHz,256,0.0,On board,0,13.3,1920 x 1080,1.236,22590000.0
55,Dell,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.83,17790000.0
56,Asus,Intel Core i7-1065G7,8 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.8,18690000.0
57,Dell,Intel Core i5-8265U,4 GB, 2666 MHz,0,1000.0,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.91,17290000.0
58,Asus,Intel Core i5-1135G7,8 GB, 4266 MHz,512,0.0,On board,0,14,1920 x 1080,1.17,22490000.0
59,Acer,Intel Core i5-10300H,8 GB, 2933 MHz,512,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,23690000.0
61,Dell,Intel Core i7-1165G7,16 GB, 3200 MHz,512,0.0,NVIDIA GeForce MX330,2,14,1920 x 1080,1.36,25090000.0
63,Asus,Intel Pentium N5000 ,4 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.8,8790000.0
64,Acer,Intel Core i3-1005G1,8 GB, 2400 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.7,13790000.0
65,Asus,Intel Core i5-10210U,8 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.406,15890000.0
66,Lenovo,Intel Core i5-1035G1,8 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.52,16690000.0
67,HP,Intel Core i5-1135G7,8 GB, 2933 MHz,512,0.0,On board,0,13.3,1920 x 1080,1.236,23290000.0
