,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Trọng lượng (kg),Price
127,Lenovo ideapad Slim 5 15IIL05 i5 1035G1/81YK004WVN,Core i5,8 GB,SSD 256 GB,Intel UHD Graphics,"15.6""",1.66,16.190.000 ₫
128,Asus Vivobook X509JP-EJ014T/i5-1035G1,Core i5,4 GB,SSD 512 GB,GeForce MX330 2GB,"15.6""",1.78,16.090.000 ₫
129,Dell V3590 i5 10210U/P75F010N90B,Core i5,8 GB,SSD 256 GB,Radeon 610 2GB,"15.6""",2.17,16.090.000 ₫
130,Dell Vostro V3405 R7 3700U,Ryzen 7,8 GB,SSD 512 GB,Radeon RX Graphics Vega 10,"14.0""",1.7,16.090.000 ₫
131,Lenovo Ideapad Slim 5 15ITL05 i5 1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris XE Graphics,"15.6""",1.66,15.990.000 ₫
132,HP Pavilion 15-cs3116TX/i5-1035G1,Core i5,4 GB,SSD 256 GB,GeForce MX250 2GB,"15.6""",1.755,15.990.000 ₫
133,Lenovo ThinkBook 14-IIL/i5-1035G1,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.5,15.990.000 ₫
134,Dell Inspiron N3593D i5 1035G1/P75F013N93D,Core i5,4 GB,SSD 512 GB,Card Onboard,"15.6""",2,15.690.000 ₫
135,Dell Vostro V3580I/Core i5-8265U/P75F010V80I,Core i5,4 GB,HDD 1000 GB,Radeon 520 2GB,"15.6""",2.28,15.490.000 ₫
136,Dell Inspiron N3593 i5 1035G1/70205744,Core i5,4 GB,SSD 256 GB,GeForce MX230 2GB,"15.6""",2,15.390.000 ₫
137,Dell Vostro V3591 i5 1035G1,Core i5,8 GB,SSD 256 GB,Intel UHD Graphics,"15.6""",1.9,15.290.000 ₫
138,HP Pavilion 14-ce3018TU/i5-1035G1,Core i5,4 GB,SSD 256 GB,Intel UHD Graphics 620,"14.0""",1.6,15.290.000 ₫
139,Acer Aspire 3 A315-57G-524Z i5-1035G1,Core i5,8 GB,SSD 512 GB,GeForce MX330 2GB,"15.6""",1.9,14.990.000 ₫
140,Dell Vostro V5581/Core i5-8265U/70175952,Core i5,4 GB,,Card Onboard,"15.6""",1.9,14.990.000 ₫
141,Dell Vostro V3405 R5 3500U,Ryzen 5,8 GB,SSD 512 GB,AMD Radeon Graphics,"14.0""",1.79,14.799.000 ₫
142,HP Pavilion x360 14-dw0061TU/i3-1005G1,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.65,14.790.000 ₫
143,Asus Vivibook A412DA-EK160T/R5-3500U,Ryzen 5,8 GB,SSD 512 GB,Radeon Vega 8 Graphics,"14.0""",1.5,14.690.000 ₫
144,Asus Vivobook X509JA-EJ171T/i5-1035G1,Core i5,4 GB,SSD 512 GB,Intel UHD Graphics 620,"15.6""",1.9,14.690.000 ₫
145,Asus Vivobook S530FA-BQ431T/Core i3-8145U,Core i3,4 GB,SSD 256 GB,Intel HD Graphics 620,"15.6""",1.8,14.490.000 ₫
146,Asus Vivobook X409JA-EK199T/i5-1035G1,Core i5,4 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.6,14.190.000 ₫
147,Asus Vivobook S430FA-EB459T/i3-8145U,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics 620,"14.0""",1.54,13.990.000 ₫
148,Asus Vivobook S430FA-EB069T/Core I3-8145U,Core i3,4 GB,HDD 1000 GB,Intel UHD Graphics 620,"14.0""",1.4,13.890.000 ₫
149,Dell Inspiron V5490 i3 10110U/V4I3101W,Core i3,4 GB,SSD 128 GB,Card Onboard,"14.0""",1.49,13.790.000 ₫
150,HP ProBook 440 G7/i3-10110U,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics 620,"14.0""",1.6,13.690.000 ₫
151,Acer Swift SF315-41-R0DX/R5-2500U/NX.GV7SV.005,Ryzen 5,4 GB,HDD 1 TB,Radeon Graphics Vega 8,"15.6""",1.7,13.490.000 ₫
152,Asus Vivobook A415EA-EB356T/i3-1115G4,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.35,13.390.000 ₫
153,Dell Inspiron N5593 i3 1005G1/70196703,Core i3,4 GB,SSD 128 GB,Intel UHD Graphics,"15.6""",2.05,13.390.000 ₫
154,Lenovo ideapad 3-14IIL05/i3-1005G1,Core i3,8 GB,SSD 512 GB,Intel HD Graphics 620,"14.0""",1.6,13.290.000 ₫
155,Lenovo ThinkBook 14-IIL/i3-1005G1,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.5,13.290.000 ₫
156,Asus Vivobook TP412FA-EC599T/i3-10110U,Core i3,4 GB,SSD 512 GB,Intel HD Graphics,"14.0""",1.5,13.190.000 ₫
157,Asus Vivobook Flip TM420IA-EC155T/R3-4300U,Ryzen 3,4 GB,SSD 256 GB,AMD Radeon Graphics,"14.0""",1.5,13.190.000 ₫
158,HP Pavilion 14-ce2040TU/Core i5 8265U,Core i5,4 GB,HDD 1000 GB,Intel UHD Graphics 620,"14.0""",1.59,13.090.000 ₫
159,Lenovo Ideapad S340-15API/R5-3500U,Ryzen 5,4 GB,SSD 256 GB,Radeon Vega 8 Graphics,"15.6""",1.8,12.990.000 ₫
160,Acer Aspire 3 A315-23G-R33Y/R5-3500U/NX.HVSSV.001,Ryzen 5,8 GB,SSD 512 GB,Radeon 625 2GB,"15.6""",1.7kg,12.790.000 ₫
161,HP 15s-fq1116TU/i3-1005G1,Core i3,8 GB,SSD 512 GB,Intel UHD Graphics 620,"15.6""",1.65,12.690.000 ₫
162,Asus VivoBook A415EA-EB358T/i3-1115G4,Core i3,4 GB,,Intel UHD Graphics,"14.0""",1.4,12.590.000 ₫
163,HP Pavilion 15-cs3008TU/i3-1005G1,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics 620,"15.6""",1.693,12.590.000 ₫
164,Asus Vivobook D409DA-EK109T/R5-3500U,Ryzen 5,4 GB,SSD 512 GB,Radeon Vega 3 Graphics,"14.0""",1.9,12.590.000 ₫
165,HP Pavilion x360 14-dh1137TU/i3-10110U,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,"14.0""",1.633,12.590.000 ₫
166,Asus Vivobook A412FA-EK1178T/i3-10110U,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.5,12.490.000 ₫
167,Lenovo Ideapad S340-14IIL/CORE I3 1005G1,Core i3,4 GB,SSD 512 GB,Intel UHD Graphics,"14.0""",1.6,12.290.000 ₫
168,Dell Inspiron N3581/Core i3-7020U/N5I3150W,Core i3,4 GB,,Radeon 520 2GB,"15.6""",2.18,12.290.000 ₫
169,Acer Aspire 3 A315 56 59XY i5 1035G1/NX.HS5SV.003,Core i5,4 GB,SSD 256 GB,Card Onboard,"15.6""",1.7,12.290.000 ₫
170,Lenovo IdeaPad S145/i3 8130U,Core i3,8 GB,SSD 512 GB,GeForce MX110 2GB,"15.6""",1.85,11.990.000 ₫
171,Dell Vostro V3591 i3 1005G1/V5I3308W,Core i3,4 GB,SSD 256 GB,Card Onboard,"15.6""",2.15,11.790.000 ₫
172,Dell Vostro V3590 i3-10110U/V5I3101W,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics 620,"15.6""",1.99,11.790.000 ₫
173,Dell Inspiron N3593C i3 1005G1/P75F013N93C,Core i3,4 GB,SSD 256 GB,Intel UHD Graphics,"15.6""",2,11.490.000 ₫
